LibraryID,Name,Address,Phone
32,Christopherbury Public Library,"191 Wilkerson Field Apt. 625, West Hannah, GA 27936",180-296-9123
33,Christopherview Public Library,"6972 Jones Forks Suite 672, Claytonberg, MD 10372",(101)083-8441x60982
34,East Laurenside Public Library,"721 Garner Walks, North Robin, NH 23495",029.273.7678
35,Johnport Public Library,"0809 Miller Overpass Apt. 488, East Kevinville, WY 92863",001-154-648-5386x85433
36,Robertsbury Public Library,"0958 Doris Street Apt. 751, New Madison, GA 56068",+1-071-745-9595x57477
37,South Danamouth Public Library,"Unit 8920 Box 4864, DPO AP 41039",+1-752-093-8110x1202
38,Courtneyshire Public Library,"879 Krueger Square Suite 025, New Darlene, WI 95759",(644)135-9939x2685
39,New Madison Public Library,"7798 Douglas Ports Suite 372, Valdezberg, VT 64545",+1-281-252-6814x80507
40,East Amy Public Library,"20211 Watkins Park Apt. 501, Joannashire, TN 36129",001-857-436-3472x22211
41,Jacobsfurt Public Library,"162 Lewis Locks, Leemouth, UT 77582",962.894.4891x672
42,Annaview Public Library,"9781 Kramer Grove, Sarahside, GA 51742",001-436-956-8213x4632
43,Marciaton Public Library,"PSC 8510, Box 8255, APO AA 16229",564-896-1427x4074
44,New Tanyaview Public Library,"4666 Thomas Stravenue Suite 637, New Sherryfurt, CT 51018",141.929.2097x7461
45,Justinhaven Public Library,"275 Perez Ferry, South Marissa, AR 93727",444-152-5410
46,Reynoldshaven Public Library,"00261 Anderson Meadow, Vangport, MI 81198",+1-098-211-9870x442
47,Port Jeremy Public Library,"4694 Ronald Highway, Powellport, MI 42052",(991)371-2754x625
48,West Crystalbury Public Library,"198 Elijah Island, New Carlos, SC 49451",473.869.9702
49,North Robertside Public Library,"2442 Mike Dale Suite 254, North Sarahberg, WI 78557",(203)549-8215
50,Gabriellaberg Public Library,"6495 Williams Rapid, Palmermouth, SC 74834",+1-199-886-7695x046
51,Clarkville Public Library,"025 Le Trace Apt. 159, Jerryside, TX 86652",(664)672-9539
52,Larsonhaven Public Library,"661 Brown Keys Suite 138, Dyerport, AZ 94071",471-814-4160x481
53,North Michaelbury Public Library,"44992 Stanley Isle Apt. 554, Morrisonfurt, ME 90474",001-827-210-5514x486
54,North Alexis Public Library,"9699 Martin Forge Suite 513, East Tyler, CO 36780",536-107-0885x196
55,Garciaberg Public Library,"3050 Sean Harbors, New Miguelchester, MA 50505",(652)032-6431
56,Lake Justin Public Library,"Unit 1220 Box 9756, DPO AP 58529",958-437-9272x56940
57,Lake Brookemouth Public Library,"Unit 8397 Box 9301, DPO AE 24370",001-828-344-1494
58,Hamptonside Public Library,"505 Rebecca Run, Davisfort, SD 41530",136-504-7263
59,Hillborough Public Library,"PSC 6321, Box 5995, APO AA 87744",170-638-8984
60,Colemanhaven Public Library,"0197 Castro Throughway Suite 266, Gonzaleston, WY 48620",(263)767-5094
61,Laurahaven Public Library,"4628 Richard Trail, Nicoleton, TX 75022",070-670-5685
62,Port Stanleyborough Public Library,"6669 Luis Port Suite 756, East Michaelstad, NV 58516",381.190.5437
63,Lake Kenneth Public Library,"22122 Jordan Stravenue Apt. 023, Port Dana, NH 73051",008.903.9684x6339
64,Feliciatown Public Library,"5730 Solis Place Apt. 814, Hallside, CO 52563",576.868.1702x95892
65,Marissaville Public Library,"199 Anthony Squares Suite 040, Brendamouth, VA 54582",581-320-4234x584
66,South Juliemouth Public Library,"Unit 0431 Box 6468, DPO AA 11738",(268)389-9367x031
67,Bryanport Public Library,"3091 Maynard Street Suite 460, Huangstad, OR 93135",+1-530-854-2214x2851
68,Millerside Public Library,"94143 Krause Causeway Apt. 764, Taylorton, NM 28258",785-352-6921
69,Andreatown Public Library,"01953 Kelly Ridges Suite 763, South Leestad, FL 94575",598-263-4328x674
70,Lake Amanda Public Library,"24916 Joseph Rapids Suite 232, Estradaberg, FL 86382",020.931.9593x657
71,Jenniferbury Public Library,"37602 Choi Inlet, Mitchellstad, MA 82526",056-809-9074
72,South Isaiahchester Public Library,"29814 Julie Corner, Smithfurt, RI 31887",(481)989-6225
73,Port Kristina Public Library,"9614 Rojas Harbor Apt. 894, Lake Miguel, VT 68302",(672)134-7006x70090
74,Shelleychester Public Library,"564 Nina Pines Suite 415, Jenniferhaven, CT 35718",804.980.7764x8292
75,Nicolemouth Public Library,"52424 Elliott Tunnel Suite 165, Smithstad, NH 98806",816.499.1164x8729
76,Port Patriciahaven Public Library,"PSC 0214, Box 1005, APO AP 44402",001-712-950-9438x7283
77,Kevinfort Public Library,"97673 Hunt Spur, Brandonville, PA 29582",002.008.7478x247
78,Morenofort Public Library,"13226 Melanie Underpass, Elizabethburgh, GA 54341",+1-798-472-6583x693
79,West Todd Public Library,"9180 Tamara Walks, Joshuatown, DE 62396",001-770-283-6829x9417
80,North Denisechester Public Library,"USS Berry, FPO AA 69148",001-862-377-9364x45249
81,Williamsmouth Public Library,"520 Hernandez Flat, East Ryanshire, DE 94666",(221)680-9055x5343
82,Lestad Public Library,"USCGC Rivera, FPO AE 80857",799-516-0005x880
83,Cooperfurt Public Library,"Unit 3552 Box 9419, DPO AE 30164",1780122254
84,West Carlberg Public Library,"USS Lynn, FPO AP 04917",2387667984
85,West Frankview Public Library,"1254 Rivers Passage Apt. 780, Blakeburgh, HI 26816",721-374-5750
86,Port Melissa Public Library,"PSC 6688, Box 0301, APO AP 17900",629-524-6303x0994
87,East Albertport Public Library,"838 Kayla Throughway Apt. 907, New Robert, CT 71907",(605)942-3028x61392
88,West John Public Library,"2971 Ashley Course, Lake Kristenfurt, AL 19071",+1-137-165-5276x61369
89,East Donnaside Public Library,"Unit 6324 Box 9563, DPO AA 72126",416-808-0430x662
90,South Christinaton Public Library,"5487 Desiree Mill, Schmidtfurt, UT 48538",211.622.7908
91,Lake Benjamin Public Library,"3077 Sanders Island, Rodriguezhaven, MS 53420",+1-762-828-0639
92,Jasonville Public Library,"632 Lisa Forges, West Lisaton, DE 63090",+1-104-577-1451
93,Taylormouth Public Library,"1509 Mark Highway Suite 206, North Steveburgh, IL 81013",3960090561
94,Vaughanside Public Library,"76859 Brittany Route Apt. 769, Lake Chrisville, WV 11349",001-381-353-7394x16009
95,Farleyton Public Library,"901 Stacy Trafficway Suite 201, New Stephanie, UT 53242",989.147.5468x680
96,Lake Joshua Public Library,"6260 Ward Falls Apt. 627, Lake Justinmouth, TN 75620",663.712.3621x1237
97,Douglasville Public Library,"46716 Kyle Corners Apt. 830, Olivertown, AK 05884",001-655-415-1752x97019
98,West Randy Public Library,"552 Harris Neck, Amandaport, PA 60743",688.760.1647x88750
99,Travischester Public Library,"00377 Karen Fields, North Tamara, AZ 62295",680.979.4975x1835
100,West Patriciahaven Public Library,"PSC 9381, Box 8558, APO AE 75728",001-765-838-2420
